timestamp,bid1,ask1,bidSize1,askSize1,bidSize2,askSize2,bidSize3,askSize3,bidSize4,askSize4,bidSize5,askSize5,bidSize6,askSize6,bidSize7,askSize7,bidSize8,askSize8,bidSize9,askSize9,bidSize10,askSize10
2024-01-01 00:00:00,99.9967392218282,100.01544946136198,1092.14,1478.96,1567.63,855.87,478.96,2146.49,867.06,603.73,1513.73,431.53,1033.34,381.14,2082.7,1488.06,454.77,706.08,429.56,932.22,1469.38,1728.38
2024-01-01 00:00:01,99.97604337419726,99.99454594474331,1541.73,1178.65,907.9,552.63,1221.64,2252.63,1451.51,864.59,665.69,969.02,702.28,700.18,1099.51,572.45,1571.52,1122.08,558.23,486.41,905.77,959.31
2024-01-01 00:00:02,99.99204533316767,100.00856203360514,885.04,2209.35,1232.42,1455.91,995.66,1106.82,761.14,577.44,1866.91,970.1,763.66,671.64,864.12,2056.72,451.24,789.02,699.9,675.04,1294.39,896.86
2024-01-01 00:00:03,100.0080437703926,100.03018618503587,1173.86,676.47,1349.53,1125.05,1317.18,2485.9,2840.15,1003.59,688.03,630.41,444.99,924.03,591.39,529.7,703.4,4206.98,614.37,2460.7,1047.94,1865.46
2024-01-01 00:00:04,99.9695076584719,99.99068088941043,1870.73,1456.02,2159.4,920.59,1286.79,930.8,2917.23,895.66,836.79,3281.92,442.08,908.4,1693.15,754.24,398.8,949.07,685.57,1294.97,1297.0,175.31
2024-01-01 00:00:05,99.94802730804959,99.96007405955824,950.1,1217.33,908.94,280.48,554.11,2087.65,994.61,422.29,1651.74,669.26,1010.03,383.46,660.27,2460.61,535.92,993.88,667.11,3044.36,1216.73,2701.9
2024-01-01 00:00:06,99.95073630685536,99.96247867687916,1187.44,1867.57,670.15,496.16,331.09,1086.26,1233.69,1980.02,638.36,1214.6,1411.33,831.17,685.19,1192.16,610.21,1250.88,1079.59,477.78,3250.63,753.2
2024-01-01 00:00:07,99.93922092888738,99.9613443511534,1454.29,1386.21,1070.48,1548.36,1196.53,1129.41,416.63,815.51,570.54,908.48,284.94,685.81,2374.86,949.3,2146.19,1529.65,1217.02,3367.24,1069.89,547.65
2024-01-01 00:00:08,99.94198483294228,99.9579084007983,460.34,1883.97,896.15,1210.95,2450.26,449.05,1067.91,952.33,754.03,913.02,415.18,999.19,1994.02,1688.58,965.56,2684.35,415.46,1910.83,629.94,1112.27
2024-01-01 00:00:09,99.92213063543107,99.94364084120659,527.94,1175.81,936.25,2827.74,1109.23,588.98,777.55,1860.86,1474.8,563.47,1040.19,466.39,1700.9,1371.06,836.44,436.57,4584.42,821.68,754.09,1988.01
